,Date,Visitor Team,Visitor Pts,Home Team,Home Pts
855,Tue Feb 25 2020,Charlotte Hornets,80,Indiana Pacers,119
856,Tue Feb 25 2020,Milwaukee Bucks,108,Toronto Raptors,97
857,Tue Feb 25 2020,Oklahoma City Thunder,124,Chicago Bulls,122
858,Tue Feb 25 2020,Detroit Pistons,98,Denver Nuggets,115
859,Tue Feb 25 2020,New Orleans Pelicans,109,Los Angeles Lakers,118
860,Tue Feb 25 2020,Boston Celtics,118,Portland Trail Blazers,106
861,Tue Feb 25 2020,Sacramento Kings,112,Golden State Warriors,94
862,Wed Feb 26 2020,New York Knicks,101,Charlotte Hornets,107
863,Wed Feb 26 2020,Philadelphia 76ers,94,Cleveland Cavaliers,108
864,Wed Feb 26 2020,Brooklyn Nets,106,Washington Wizards,110
865,Wed Feb 26 2020,Orlando Magic,130,Atlanta Hawks,120
866,Wed Feb 26 2020,Minnesota Timberwolves,129,Miami Heat,126
867,Wed Feb 26 2020,Memphis Grizzlies,112,Houston Rockets,140
868,Wed Feb 26 2020,Dallas Mavericks,109,San Antonio Spurs,103
869,Wed Feb 26 2020,Los Angeles Clippers,102,Phoenix Suns,92
870,Wed Feb 26 2020,Boston Celtics,114,Utah Jazz,103
871,Thu Feb 27 2020,New York Knicks,106,Philadelphia 76ers,115
872,Thu Feb 27 2020,Portland Trail Blazers,100,Indiana Pacers,106
873,Thu Feb 27 2020,Sacramento Kings,108,Oklahoma City Thunder,112
874,Thu Feb 27 2020,Los Angeles Lakers,116,Golden State Warriors,86
875,Fri Feb 28 2020,Minnesota Timberwolves,125,Orlando Magic,136
876,Fri Feb 28 2020,Brooklyn Nets,118,Atlanta Hawks,141
877,Fri Feb 28 2020,Charlotte Hornets,99,Toronto Raptors,96
878,Fri Feb 28 2020,Sacramento Kings,104,Memphis Grizzlies,101
879,Fri Feb 28 2020,Dallas Mavericks,118,Miami Heat,126
880,Fri Feb 28 2020,Oklahoma City Thunder,86,Milwaukee Bucks,133
881,Fri Feb 28 2020,Cleveland Cavaliers,104,New Orleans Pelicans,116
882,Fri Feb 28 2020,Detroit Pistons,113,Phoenix Suns,111
883,Fri Feb 28 2020,Washington Wizards,119,Utah Jazz,129
884,Fri Feb 28 2020,Denver Nuggets,103,Los Angeles Clippers,132
885,Sat Feb 29 2020,Chicago Bulls,115,New York Knicks,125
886,Sat Feb 29 2020,Portland Trail Blazers,117,Atlanta Hawks,129
887,Sat Feb 29 2020,Brooklyn Nets,113,Miami Heat,116
888,Sat Feb 29 2020,Indiana Pacers,113,Cleveland Cavaliers,104
889,Sat Feb 29 2020,Los Angeles Lakers,88,Memphis Grizzlies,105
890,Sat Feb 29 2020,Houston Rockets,111,Boston Celtics,110
891,Sat Feb 29 2020,Orlando Magic,113,San Antonio Spurs,114
892,Sat Feb 29 2020,Golden State Warriors,115,Phoenix Suns,99
893,Sun Mar 1 2020,Milwaukee Bucks,93,Charlotte Hornets,85
894,Sun Mar 1 2020,Philadelphia 76ers,130,Los Angeles Clippers,136
895,Sun Mar 1 2020,Dallas Mavericks,111,Minnesota Timberwolves,91
896,Sun Mar 1 2020,Toronto Raptors,118,Denver Nuggets,133
897,Sun Mar 1 2020,Detroit Pistons,100,Sacramento Kings,106
898,Sun Mar 1 2020,Los Angeles Lakers,122,New Orleans Pelicans,114
899,Sun Mar 1 2020,Washington Wizards,124,Golden State Warriors,110
900,Mon Mar 2 2020,Utah Jazz,126,Cleveland Cavaliers,113
901,Mon Mar 2 2020,Houston Rockets,123,New York Knicks,125
902,Mon Mar 2 2020,Portland Trail Blazers,130,Orlando Magic,107
903,Mon Mar 2 2020,Memphis Grizzlies,127,Atlanta Hawks,88
904,Mon Mar 2 2020,Milwaukee Bucks,89,Miami Heat,105
905,Mon Mar 2 2020,Dallas Mavericks,107,Chicago Bulls,109
906,Mon Mar 2 2020,Indiana Pacers,116,San Antonio Spurs,111
907,Tue Mar 3 2020,San Antonio Spurs,104,Charlotte Hornets,103
908,Tue Mar 3 2020,Brooklyn Nets,129,Boston Celtics,120
909,Tue Mar 3 2020,Minnesota Timberwolves,139,New Orleans Pelicans,134
910,Tue Mar 3 2020,Los Angeles Clippers,109,Oklahoma City Thunder,94
911,Tue Mar 3 2020,Golden State Warriors,116,Denver Nuggets,100
912,Tue Mar 3 2020,Toronto Raptors,123,Phoenix Suns,114
913,Tue Mar 3 2020,Philadelphia 76ers,107,Los Angeles Lakers,120
914,Tue Mar 3 2020,Washington Wizards,126,Sacramento Kings,133
915,Wed Mar 4 2020,Boston Celtics,112,Cleveland Cavaliers,106
916,Wed Mar 4 2020,Oklahoma City Thunder,114,Detroit Pistons,107
917,Wed Mar 4 2020,Indiana Pacers,100,Milwaukee Bucks,119
918,Wed Mar 4 2020,Memphis Grizzlies,118,Brooklyn Nets,79
919,Wed Mar 4 2020,Utah Jazz,112,New York Knicks,104
920,Wed Mar 4 2020,Orlando Magic,113,Miami Heat,116
921,Wed Mar 4 2020,Chicago Bulls,108,Minnesota Timberwolves,115
922,Wed Mar 4 2020,New Orleans Pelicans,123,Dallas Mavericks,127
923,Wed Mar 4 2020,Washington Wizards,104,Portland Trail Blazers,125
924,Thu Mar 5 2020,Denver Nuggets,114,Charlotte Hornets,112
925,Thu Mar 5 2020,Los Angeles Clippers,120,Houston Rockets,105
926,Thu Mar 5 2020,Philadelphia 76ers,125,Sacramento Kings,108
927,Thu Mar 5 2020,Toronto Raptors,121,Golden State Warriors,113
928,Fri Mar 6 2020,Atlanta Hawks,112,Washington Wizards,118
929,Fri Mar 6 2020,San Antonio Spurs,120,Brooklyn Nets,139
930,Fri Mar 6 2020,Oklahoma City Thunder,126,New York Knicks,103
931,Fri Mar 6 2020,Indiana Pacers,108,Chicago Bulls,102
932,Fri Mar 6 2020,Orlando Magic,132,Minnesota Timberwolves,118
933,Fri Mar 6 2020,Miami Heat,104,New Orleans Pelicans,110
934,Fri Mar 6 2020,Utah Jazz,99,Boston Celtics,94
935,Fri Mar 6 2020,Memphis Grizzlies,96,Dallas Mavericks,121
936,Fri Mar 6 2020,Portland Trail Blazers,117,Phoenix Suns,127
937,Fri Mar 6 2020,Milwaukee Bucks,103,Los Angeles Lakers,113
938,Sat Mar 7 2020,Houston Rockets,99,Charlotte Hornets,108
939,Sat Mar 7 2020,Utah Jazz,111,Detroit Pistons,105
940,Sat Mar 7 2020,Denver Nuggets,102,Cleveland Cavaliers,104
941,Sat Mar 7 2020,Atlanta Hawks,101,Memphis Grizzlies,118
942,Sat Mar 7 2020,Philadelphia 76ers,114,Golden State Warriors,118
943,Sat Mar 7 2020,Sacramento Kings,123,Portland Trail Blazers,111
944,Sun Mar 8 2020,Chicago Bulls,107,Brooklyn Nets,110
945,Sun Mar 8 2020,New Orleans Pelicans,120,Minnesota Timberwolves,107
946,Sun Mar 8 2020,Los Angeles Lakers,112,Los Angeles Clippers,103
947,Sun Mar 8 2020,Oklahoma City Thunder,105,Boston Celtics,104
948,Sun Mar 8 2020,Milwaukee Bucks,131,Phoenix Suns,140
949,Sun Mar 8 2020,Miami Heat,100,Washington Wizards,89
950,Sun Mar 8 2020,Indiana Pacers,112,Dallas Mavericks,109
951,Sun Mar 8 2020,Orlando Magic,126,Houston Rockets,106
952,Sun Mar 8 2020,Detroit Pistons,84,New York Knicks,96
953,Sun Mar 8 2020,San Antonio Spurs,129,Cleveland Cavaliers,132
954,Sun Mar 8 2020,Toronto Raptors,118,Sacramento Kings,113
955,Mon Mar 9 2020,Charlotte Hornets,138,Atlanta Hawks,143
956,Mon Mar 9 2020,Milwaukee Bucks,95,Denver Nuggets,109
957,Mon Mar 9 2020,Toronto Raptors,101,Utah Jazz,92
958,Tue Mar 10 2020,New York Knicks,115,Washington Wizards,122
959,Tue Mar 10 2020,Boston Celtics,114,Indiana Pacers,111
960,Tue Mar 10 2020,Minnesota Timberwolves,111,Houston Rockets,117
961,Tue Mar 10 2020,Dallas Mavericks,109,San Antonio Spurs,119
962,Tue Mar 10 2020,Orlando Magic,120,Memphis Grizzlies,115
963,Tue Mar 10 2020,Cleveland Cavaliers,103,Chicago Bulls,108
964,Tue Mar 10 2020,Phoenix Suns,105,Portland Trail Blazers,121
965,Tue Mar 10 2020,Brooklyn Nets,104,Los Angeles Lakers,102
966,Tue Mar 10 2020,Los Angeles Clippers,131,Golden State Warriors,107
967,Wed Mar 11 2020,Detroit Pistons,106,Philadelphia 76ers,124
968,Wed Mar 11 2020,New York Knicks,136,Atlanta Hawks,131
969,Wed Mar 11 2020,Charlotte Hornets,109,Miami Heat,98
970,Wed Mar 11 2020,Denver Nuggets,97,Dallas Mavericks,113
971,Thu Jul 30 2020,Utah Jazz,106,New Orleans Pelicans,104
972,Thu Jul 30 2020,Los Angeles Clippers,101,Los Angeles Lakers,103
973,Fri Jul 31 2020,Orlando Magic,128,Brooklyn Nets,118
974,Fri Jul 31 2020,Memphis Grizzlies,135,Portland Trail Blazers,140
975,Fri Jul 31 2020,Phoenix Suns,125,Washington Wizards,112
976,Fri Jul 31 2020,Boston Celtics,112,Milwaukee Bucks,119
977,Fri Jul 31 2020,Sacramento Kings,120,San Antonio Spurs,129
978,Fri Jul 31 2020,Houston Rockets,153,Dallas Mavericks,149
979,Sat Aug 1 2020,Miami Heat,125,Denver Nuggets,105
980,Sat Aug 1 2020,Utah Jazz,94,Oklahoma City Thunder,110
981,Sat Aug 1 2020,New Orleans Pelicans,103,Los Angeles Clippers,126
982,Sat Aug 1 2020,Philadelphia 76ers,121,Indiana Pacers,127
983,Sat Aug 1 2020,Los Angeles Lakers,92,Toronto Raptors,107
984,Sun Aug 2 2020,Washington Wizards,110,Brooklyn Nets,118
985,Sun Aug 2 2020,Portland Trail Blazers,124,Boston Celtics,128
986,Sun Aug 2 2020,San Antonio Spurs,108,Memphis Grizzlies,106
987,Sun Aug 2 2020,Sacramento Kings,116,Orlando Magic,132
988,Sun Aug 2 2020,Milwaukee Bucks,116,Houston Rockets,120
989,Sun Aug 2 2020,Dallas Mavericks,115,Phoenix Suns,117
990,Mon Aug 3 2020,Toronto Raptors,107,Miami Heat,103
991,Mon Aug 3 2020,Denver Nuggets,121,Oklahoma City Thunder,113
992,Mon Aug 3 2020,Indiana Pacers,111,Washington Wizards,100
993,Mon Aug 3 2020,Memphis Grizzlies,99,New Orleans Pelicans,109
994,Mon Aug 3 2020,San Antonio Spurs,130,Philadelphia 76ers,132
995,Mon Aug 3 2020,Los Angeles Lakers,116,Utah Jazz,108
996,Tue Aug 4 2020,Brooklyn Nets,119,Milwaukee Bucks,116
997,Tue Aug 4 2020,Dallas Mavericks,114,Sacramento Kings,110
998,Tue Aug 4 2020,Phoenix Suns,117,Los Angeles Clippers,115
999,Tue Aug 4 2020,Orlando Magic,109,Indiana Pacers,120
1000,Tue Aug 4 2020,Boston Celtics,106,Miami Heat,112
1001,Tue Aug 4 2020,Houston Rockets,102,Portland Trail Blazers,110
1002,Wed Aug 5 2020,Memphis Grizzlies,115,Utah Jazz,124
1003,Wed Aug 5 2020,Denver Nuggets,132,San Antonio Spurs,126
1004,Wed Aug 5 2020,Philadelphia 76ers,107,Washington Wizards,98
1005,Wed Aug 5 2020,Oklahoma City Thunder,105,Los Angeles Lakers,86
1006,Wed Aug 5 2020,Toronto Raptors,109,Orlando Magic,99
1007,Wed Aug 5 2020,Brooklyn Nets,115,Boston Celtics,149
1008,Thu Aug 6 2020,New Orleans Pelicans,125,Sacramento Kings,140
1009,Thu Aug 6 2020,Miami Heat,116,Milwaukee Bucks,130
1010,Thu Aug 6 2020,Indiana Pacers,99,Phoenix Suns,114
1011,Thu Aug 6 2020,Los Angeles Clippers,126,Dallas Mavericks,111
1012,Thu Aug 6 2020,Portland Trail Blazers,125,Denver Nuggets,115
1013,Thu Aug 6 2020,Los Angeles Lakers,97,Houston Rockets,113
1014,Fri Aug 7 2020,Utah Jazz,111,San Antonio Spurs,119
1015,Fri Aug 7 2020,Oklahoma City Thunder,92,Memphis Grizzlies,121
1016,Fri Aug 7 2020,Sacramento Kings,106,Brooklyn Nets,119
1017,Fri Aug 7 2020,Orlando Magic,101,Philadelphia 76ers,108
1018,Fri Aug 7 2020,Washington Wizards,107,New Orleans Pelicans,118
1019,Fri Aug 7 2020,Boston Celtics,122,Toronto Raptors,100
1020,Sat Aug 8 2020,Los Angeles Clippers,122,Portland Trail Blazers,117
1021,Sat Aug 8 2020,Utah Jazz,132,Denver Nuggets,134
1022,Sat Aug 8 2020,Los Angeles Lakers,111,Indiana Pacers,116
1023,Sat Aug 8 2020,Phoenix Suns,119,Miami Heat,112
1024,Sat Aug 8 2020,Milwaukee Bucks,132,Dallas Mavericks,136
1025,Sun Aug 9 2020,Washington Wizards,103,Oklahoma City Thunder,121
1026,Sun Aug 9 2020,Memphis Grizzlies,99,Toronto Raptors,108
1027,Sun Aug 9 2020,San Antonio Spurs,122,New Orleans Pelicans,113
1028,Sun Aug 9 2020,Orlando Magic,119,Boston Celtics,122
1029,Sun Aug 9 2020,Philadelphia 76ers,121,Portland Trail Blazers,124
1030,Sun Aug 9 2020,Houston Rockets,129,Sacramento Kings,112
1031,Sun Aug 9 2020,Brooklyn Nets,129,Los Angeles Clippers,120
1032,Mon Aug 10 2020,Oklahoma City Thunder,101,Phoenix Suns,128
1033,Mon Aug 10 2020,Dallas Mavericks,122,Utah Jazz,114
1034,Mon Aug 10 2020,Toronto Raptors,114,Milwaukee Bucks,106
1035,Mon Aug 10 2020,Indiana Pacers,92,Miami Heat,114
1036,Mon Aug 10 2020,Denver Nuggets,121,Los Angeles Lakers,124
1037,Tue Aug 11 2020,Brooklyn Nets,108,Orlando Magic,96
1038,Tue Aug 11 2020,Houston Rockets,105,San Antonio Spurs,123
1039,Tue Aug 11 2020,Phoenix Suns,130,Philadelphia 76ers,117
1040,Tue Aug 11 2020,Boston Celtics,122,Memphis Grizzlies,107
1041,Tue Aug 11 2020,Portland Trail Blazers,134,Dallas Mavericks,131
1042,Tue Aug 11 2020,New Orleans Pelicans,106,Sacramento Kings,112
1043,Tue Aug 11 2020,Milwaukee Bucks,126,Washington Wizards,113
1044,Wed Aug 12 2020,Indiana Pacers,108,Houston Rockets,104
1045,Wed Aug 12 2020,Toronto Raptors,125,Philadelphia 76ers,121
1046,Wed Aug 12 2020,Miami Heat,115,Oklahoma City Thunder,116
1047,Wed Aug 12 2020,Los Angeles Clippers,124,Denver Nuggets,111
1048,Thu Aug 13 2020,Washington Wizards,96,Boston Celtics,90
1049,Thu Aug 13 2020,Sacramento Kings,136,Los Angeles Lakers,122
1050,Thu Aug 13 2020,Milwaukee Bucks,106,Memphis Grizzlies,119
1051,Thu Aug 13 2020,Dallas Mavericks,102,Phoenix Suns,128
1052,Thu Aug 13 2020,San Antonio Spurs,112,Utah Jazz,118
1053,Thu Aug 13 2020,Portland Trail Blazers,134,Brooklyn Nets,133
1054,Thu Aug 13 2020,New Orleans Pelicans,127,Orlando Magic,133
1055,Fri Aug 14 2020,Denver Nuggets,109,Toronto Raptors,117
1056,Fri Aug 14 2020,Miami Heat,92,Indiana Pacers,109
1057,Fri Aug 14 2020,Oklahoma City Thunder,103,Los Angeles Clippers,107
1058,Fri Aug 14 2020,Philadelphia 76ers,134,Houston Rockets,96
1059,Sat Aug 15 2020,Memphis Grizzlies,122,Portland Trail Blazers,126
1060,Mon Aug 17 2020,Utah Jazz,125,Denver Nuggets,135
1061,Mon Aug 17 2020,Brooklyn Nets,110,Toronto Raptors,134
1062,Mon Aug 17 2020,Philadelphia 76ers,101,Boston Celtics,109
1063,Mon Aug 17 2020,Dallas Mavericks,110,Los Angeles Clippers,118
1064,Tue Aug 18 2020,Orlando Magic,122,Milwaukee Bucks,110
1065,Tue Aug 18 2020,Miami Heat,113,Indiana Pacers,101
1066,Tue Aug 18 2020,Oklahoma City Thunder,108,Houston Rockets,123
1067,Tue Aug 18 2020,Portland Trail Blazers,100,Los Angeles Lakers,93
1068,Wed Aug 19 2020,Brooklyn Nets,99,Toronto Raptors,104
1069,Wed Aug 19 2020,Utah Jazz,124,Denver Nuggets,105
1070,Wed Aug 19 2020,Philadelphia 76ers,101,Boston Celtics,128
1071,Wed Aug 19 2020,Dallas Mavericks,127,Los Angeles Clippers,114
1072,Thu Aug 20 2020,Miami Heat,109,Indiana Pacers,100
1073,Thu Aug 20 2020,Oklahoma City Thunder,98,Houston Rockets,111
1074,Thu Aug 20 2020,Orlando Magic,96,Milwaukee Bucks,111
1075,Thu Aug 20 2020,Portland Trail Blazers,88,Los Angeles Lakers,111
1076,Fri Aug 21 2020,Toronto Raptors,117,Brooklyn Nets,92
1077,Fri Aug 21 2020,Denver Nuggets,87,Utah Jazz,124
1078,Fri Aug 21 2020,Boston Celtics,102,Philadelphia 76ers,94
1079,Fri Aug 21 2020,Los Angeles Clippers,130,Dallas Mavericks,122
1080,Sat Aug 22 2020,Milwaukee Bucks,121,Orlando Magic,107
1081,Sat Aug 22 2020,Indiana Pacers,115,Miami Heat,124
1082,Sat Aug 22 2020,Houston Rockets,107,Oklahoma City Thunder,119
1083,Sat Aug 22 2020,Los Angeles Lakers,116,Portland Trail Blazers,108
1084,Sun Aug 23 2020,Boston Celtics,110,Philadelphia 76ers,106
1085,Sun Aug 23 2020,Los Angeles Clippers,133,Dallas Mavericks,135
1086,Sun Aug 23 2020,Toronto Raptors,150,Brooklyn Nets,122
1087,Sun Aug 23 2020,Denver Nuggets,127,Utah Jazz,129
1088,Mon Aug 24 2020,Milwaukee Bucks,121,Orlando Magic,106
1089,Mon Aug 24 2020,Houston Rockets,114,Oklahoma City Thunder,117
1090,Mon Aug 24 2020,Indiana Pacers,87,Miami Heat,99
1091,Mon Aug 24 2020,Los Angeles Lakers,135,Portland Trail Blazers,115
1092,Tue Aug 25 2020,Utah Jazz,107,Denver Nuggets,117
1093,Tue Aug 25 2020,Dallas Mavericks,111,Los Angeles Clippers,154
1094,Sat Aug 29 2020,Orlando Magic,104,Milwaukee Bucks,118
1095,Sat Aug 29 2020,Oklahoma City Thunder,80,Houston Rockets,114
1096,Sat Aug 29 2020,Portland Trail Blazers,122,Los Angeles Lakers,131
1097,Sun Aug 30 2020,Boston Celtics,112,Toronto Raptors,94
1098,Sun Aug 30 2020,Los Angeles Clippers,111,Dallas Mavericks,97
1099,Sun Aug 30 2020,Denver Nuggets,119,Utah Jazz,107
1100,Mon Aug 31 2020,Miami Heat,115,Milwaukee Bucks,104
1101,Mon Aug 31 2020,Houston Rockets,100,Oklahoma City Thunder,104
1102,Tue Sep 1 2020,Boston Celtics,102,Toronto Raptors,99
1103,Tue Sep 1 2020,Utah Jazz,78,Denver Nuggets,80
1104,Wed Sep 2 2020,Miami Heat,116,Milwaukee Bucks,114
1105,Wed Sep 2 2020,Oklahoma City Thunder,102,Houston Rockets,104
1106,Thu Sep 3 2020,Toronto Raptors,104,Boston Celtics,103
1107,Thu Sep 3 2020,Denver Nuggets,97,Los Angeles Clippers,120
1108,Fri Sep 4 2020,Milwaukee Bucks,100,Miami Heat,115
1109,Fri Sep 4 2020,Houston Rockets,112,Los Angeles Lakers,97
1110,Sat Sep 5 2020,Toronto Raptors,100,Boston Celtics,93
1111,Sat Sep 5 2020,Denver Nuggets,110,Los Angeles Clippers,101
1112,Sun Sep 6 2020,Milwaukee Bucks,118,Miami Heat,115
1113,Sun Sep 6 2020,Houston Rockets,109,Los Angeles Lakers,117
1114,Mon Sep 7 2020,Boston Celtics,111,Toronto Raptors,89
1115,Mon Sep 7 2020,Los Angeles Clippers,113,Denver Nuggets,107
1116,Tue Sep 8 2020,Miami Heat,103,Milwaukee Bucks,94
1117,Tue Sep 8 2020,Los Angeles Lakers,112,Houston Rockets,102
1118,Wed Sep 9 2020,Toronto Raptors,125,Boston Celtics,122
1119,Wed Sep 9 2020,Los Angeles Clippers,96,Denver Nuggets,85
1120,Thu Sep 10 2020,Los Angeles Lakers,110,Houston Rockets,100
1121,Fri Sep 11 2020,Denver Nuggets,111,Los Angeles Clippers,105
1122,Fri Sep 11 2020,Boston Celtics,92,Toronto Raptors,87
1123,Sat Sep 12 2020,Houston Rockets,96,Los Angeles Lakers,119
1124,Sun Sep 13 2020,Los Angeles Clippers,98,Denver Nuggets,111
1125,Tue Sep 15 2020,Miami Heat,117,Boston Celtics,114
1126,Tue Sep 15 2020,Denver Nuggets,104,Los Angeles Clippers,89
1127,Thu Sep 17 2020,Miami Heat,106,Boston Celtics,101
1128,Fri Sep 18 2020,Denver Nuggets,114,Los Angeles Lakers,126
1129,Sat Sep 19 2020,Boston Celtics,117,Miami Heat,106
1130,Sun Sep 20 2020,Denver Nuggets,103,Los Angeles Lakers,105
1131,Tue Sep 22 2020,Los Angeles Lakers,106,Denver Nuggets,114
1132,Wed Sep 23 2020,Boston Celtics,109,Miami Heat,112
1133,Thu Sep 24 2020,Los Angeles Lakers,114,Denver Nuggets,108
1134,Fri Sep 25 2020,Miami Heat,108,Boston Celtics,121
1135,Sat Sep 26 2020,Denver Nuggets,107,Los Angeles Lakers,117
1136,Sun Sep 27 2020,Boston Celtics,113,Miami Heat,125
1137,Wed Sep 30 2020,Miami Heat,98,Los Angeles Lakers,116
1138,Fri Oct 2 2020,Miami Heat,114,Los Angeles Lakers,124
1139,Sun Oct 4 2020,Los Angeles Lakers,104,Miami Heat,115
1140,Tue Oct 6 2020,Los Angeles Lakers,102,Miami Heat,96
1141,Fri Oct 9 2020,Miami Heat,111,Los Angeles Lakers,108
1142,Sun Oct 11 2020,Los Angeles Lakers,106,Miami Heat,93
